"ISBN","AkademischerTitel","Vorname","Nachname"
"9783000001000","Dr.","Mara","von Falkenried"
"9783000001000","","Jonas","Kernwald"
"9783000001017","","Leonie","zu Morgenfeld"
"9783000001024","Prof.","Tobias","van Dorn"
"9783000001031","","Klara","ten Broek"
"9783000001031","M.A.","Henrik","Wellen"
"9783000001048","","Sina","de Winter"
"9781000002003","PhD","Elena","van den Hale"
"9781000002003","","Marcus","Brighton"
"9781000002010","","Iris","de Carter"
"9781000002027","","Noah","Willowmere"
"9781000002027","Dr.","Amelia","von Mercer"
"9781000002034","Prof.","Gavin","Stonebridge"
"9781000002041","","Lydia","Ashwell"
"9788400003005","","Lucia","de la Cruz"
"9788400003005","Dr.","Mateo","Serral"
"9788400003012","","Ines","del Rio"
"9788400003029","","Rafael","de Solana"
"9788400003036","M.A.","Clara","de la Vega"
"9788400003036","","Tomas","Lumbrera"
"9788400003043","Prof.","Nora","Campos"
"9788700004009","","Freja","af Lindholm"
"9788700004009","","Mikkel","Sondergaard"
"9788700004016","","Astrid","von Kaas"
"9788700004023","Dr.","Emil","van Holst"
"9788700004023","","Sofie","Birkedal"
"9788700004030","PhD","Lars","de Madsen"
"9788700004047","","Katrine","Nygaard"
