Land,ISO-Code
Deutschland,DE
Österreich,AT
Schweiz,CH
Frankreich,FR
Spanien,ES
Italien,IT
Portugal,PT
Niederlande,NL
Belgien,BE
Luxemburg,LU
Polen,PL
Tschechien,CZ
Slowakei,SK
Ungarn,HU
Rumänien,RO
Bulgarien,BG
Griechenland,GR
Türkei,TR
Vereinigtes Königreich,GB
Irland,IE
Dänemark,DK
Schweden,SE
Norwegen,NO
Finnland,FI
Island,IS
USA,US
Kanada,CA
Mexiko,MX
Brasilien,BR
Argentinien,AR
China,CN
Japan,JP
Südkorea,KR
Indien,IN
Australien,AU
Neuseeland,NZ
Südafrika,ZA
Ägypten,EG
Saudi-Arabien,SA
Vereinigte Arabische Emirate,AE
