"ISBN","Verlagsname","Webseite","Strasse","Hausnummer","Postleitzahl","Ort","Land"
"9783000001000","Nordlicht Seiten Verlag","https://nordlicht-seiten.example.com","Finkenweg",14,"10117","Berlin","DE"
"9783000001017","Kupferblatt Medien","https://kupferblatt.example.com","Waldstrasse",27,"04109","Leipzig","DE"
"9783000001024","Klarblick Fachverlag","https://klarblick-fachverlag.example.com","Denkergasse",8,"80331","Muenchen","DE"
"9783000001031","Hafenfeder Verlag","https://hafenfeder.example.com","Speicherstrasse",31,"20457","Hamburg","DE"
"9783000001048","Sternpfad Jugendmedien","https://sternpfad.example.com","Himmelweg",5,"50667","Koeln","DE"
"9781000002003","Silver Meridian Press","https://silver-meridian.example.com","Orbit Lane",19,"EC1A 4BX","London","GB"
"9781000002010","Quiet Arch Publishing","https://quiet-arch.example.com","River Street",42,"M1 2AB","Manchester","GB"
"9781000002027","Green Lantern Books","https://green-lantern-books.example.com","Orchard Road",11,"BS1 5TR","Bristol","GB"
"9781000002034","Pattern House Publishing","https://pattern-house.example.com","Framework Avenue",63,"CB2 3QJ","Cambridge","GB"
"9781000002041","Ember Coast Press","https://ember-coast.example.com","Harbour Lane",24,"PL1 2DR","Plymouth","GB"
"9788400003005","Editorial Reloj Azul","https://reloj-azul.example.com","Calle del Tiempo",16,"28013","Madrid","ES"
"9788400003012","Jardin del Norte Ediciones","https://jardin-norte.example.com","Calle Nevada",7,"08002","Barcelona","ES"
"9788400003029","Horizonte Perdido Editorial","https://horizonte-perdido.example.com","Avenida del Mapa",38,"41001","Sevilla","ES"
"9788400003036","Linea Oscura Libros","https://linea-oscura.example.com","Calle del Anden",22,"46001","Valencia","ES"
"9788400003043","Editorial Equipo Claro","https://equipo-claro.example.com","Plaza de las Ideas",4,"50001","Zaragoza","ES"
"9788700004009","Stille Fjord Forlag","https://stille-fjord.example.com","Havnegade",12,"1058","Koebenhavn","DK"
"9788700004016","Nordstjerne Boghus","https://nordstjerne-boghus.example.com","Stjernegade",29,"8000","Aarhus","DK"
"9788700004023","Niende Side Forlag","https://niende-side.example.com","Brevvej",6,"5000","Odense","DK"
"9788700004030","Skjult Havn Udgivelser","https://skjult-havn.example.com","Arkivgade",44,"9000","Aalborg","DK"
"9788700004047","Digital Balance Forlag","https://digital-balance.example.com","Teknologivej",18,"7100","Vejle","DK"
